蓝越橘               防护罩持续3分钟
红越橘               防护罩持续5分钟
绿香草               粉碎垃圾的力度提升(Lv+5)3分钟
双香草               粉碎垃圾的力度提升(Lv+10)3分钟
熏衣草               透明功能持续3分钟
绿球                 粉碎垃圾的速度加快0.5秒，持续3分钟
蓝球                 粉碎垃圾的速度加快1秒，持续3分钟
红球                 粉碎垃圾的速度加快1秒，持续5分钟
骑士靴               提高移动速度（100%）3分钟
飞靴                 提高移动速度（200%）3分钟
天使靴               提高移动速度（200%）5分钟
赞扬指数任务卷轴     激发赞扬指数任务的卷轴
锤子速度任务卷轴     激发锤子速度任务的卷轴
魔法球任务卷轴       激发魔法球任务的卷轴
必杀技任务卷轴       激发必杀技任务的卷轴
锤子卷轴             锤子的攻击速度缩短0.4秒。（持续时间20分钟）
锤子卷轴             锤子的攻击速度缩短0.5秒。（持续时间20分钟）
锤子卷轴             锤子的攻击速度缩短0.6秒。（持续时间20分钟）
锤子卷轴             锤子的攻击速度缩短0.7秒。（持续时间20分钟）
锤子卷轴             锤子的攻击速度缩短0.8秒。（持续时间20分钟）
魔法球卷轴           使用后可发射出魔法球(攻击力110%)。无体力消耗
魔法球卷轴           使用后可发射出魔法球(攻击力130%)。无体力消耗
魔法球卷轴           使用后可发射出魔法球(攻击力150%)。无体力消耗
魔法球卷轴           使用后可发射出魔法球(攻击力160%)。无体力消耗
魔法球卷轴           使用后可发射出魔法球(攻击力170%)。无体力消耗

必杀技卷轴           可使用强力光束的魔法卷轴(消耗12%体力)
必杀技卷轴           可使用龙卷风的魔法卷轴(消耗15%体力)

必杀技卷轴           可使用火焰的魔法卷轴(消耗20%体力)
必杀技卷轴           可使用火系魔法的魔法卷轴(消耗20%体力)

必杀技卷轴           可使用五雷轰顶的魔法卷轴(消耗20%体力)
紫水晶               可以制作紫色魔法粉的材料（5个以上可以进行组合）
红宝石               可以制作红色魔法粉的材料（5个以上可以进行组合）
蓝宝石               可以制作蓝色魔法粉的材料（5个以上可以进行组合）
翡翠                 可以制作绿色魔法粉的材料（5个以上可以进行组合）
钻石                 可以制作白色魔法粉的材料（5个以上可以进行组合）
紫色魔法粉           增加魔法球，必杀技，锤子威力20%（持续时间10分钟）
红色魔法粉           增加魔法球，必杀技，锤子威力40%（持续时间10分钟）
蓝色魔法粉           增加魔法球，必杀技，锤子威力60%（持续时间10分钟）
绿色魔法粉           增加魔法球，必杀技，锤子威力80%（持续时间10分钟）
白色魔法粉           增加魔法球，必杀技，锤子威力100%（持续时间10分钟）
